name,dayofweek,state_pob,capacity,price,facebook_likes,youtube_suscrs,youtube_views,instagram_folls,instagram_likes,spotify_folls,spotify_pop,twitter_folls,twitter_mencs_usa,twitter_mencs,facebook_crec,youtube_crec,instagram_crec,twitter_crec,tickets
ugly god,6,6392017,1300,27.5,82921,313997,41259667,3300000,1287000,1095267,64,960514,284,886,0.01300,0.35100,0.00000,0.43600,20
underoath,1,9687653,978,34.25,346993,20740,10855857,101100,342,251213,56,129026,86,318,-0.24800,0.34200,1.28600,0.09100,100
unknown mortal orchestra,4,601723,1034,15,204013,69152,838737,69800,14539,311600,62,108861,63,93,0.24100,0.59500,1.71900,-0.22300,100
unknown mortal orchestra,3,12830632,1425,13.25,204013,69152,838737,69800,14539,311600,62,108861,63,93,0.24100,0.59500,1.71900,-0.22300,88
uriah heep,5,38332521,1000,62.5,335382,3454,75349,856,677,224189,50,6932,54,69,-0.03700,6.23400,0.93500,0.17300,18
uriah heep,0,6392017,1000,28,335382,3454,75349,856,677,224189,50,6932,54,69,-0.03700,6.23400,0.93500,0.17300,21
uriah heep,3,6724540,500,62.5,335382,3454,75349,856,677,224189,50,6932,54,69,-0.03700,6.23400,0.93500,0.17300,47
us bombs,3,38332521,500,18.5,77243,108621,1698709,11400,56,12379,31,1120,8,10,-0.11400,0.62900,0.87700,-0.26800,31
vance joy,6,3751351,2542,42.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,5,3751351,2484,41.75,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,4,12830632,4185,49.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,1,26448193,1789,42.25,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,1,8001024,2562,22.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,2,26448193,2334,51.25,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,3,9883640,2591,45.25,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,5,6392017,3243,39.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,1,18801310,3802,31.055,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,80
vance joy,2,2700551,2163,43.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,1,9883640,4001,39.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,2,5029196,9513,47.25,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,4,38332521,6174,50.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,4,12702379,3273,36.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,4,5988927,2051,52,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,5,5988927,2347,47.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,4,2700551,2020,84,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,2,11536504,3577,36.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vance joy,3,26448193,2934,42.5,601483,315953,55182208,450000,5300,1264194,75,168826,183,353,0.01600,0.93700,0.68900,-0.09000,100
vesperteen,5,11536504,1000,16.5,5019,7048,230355,26,17,15125,33,17728,43,177,0.06000,0.67800,0.00000,-0.66000,72
vundabar,4,5303925,253,10.5,13530,273,10920,11300,8189,20803,45,3254,5,6,0.67300,4.86300,1.77000,0.98300,100
walden,3,9687653,400,11,14090,1675,175561,914,396,5613,32,12008,318,624,-0.08500,0.04700,-0.32800,-0.14200,92
walter trout,0,6346105,314,18.5,100651,391,57914,4408,1831,36578,41,12197,5,6,0.03500,0.49900,0.65800,0.31200,82
war on drugs,1,6392017,1300,37.5,282513,41391,10242762,70400,9863,403233,62,58506,293,1000,0.09500,2.56800,1.13600,0.35000,69
warrant,4,19378102,1600,27.5,589543,119084,404151,19100,1468,340914,56,74635,1000,1000,-0.05300,0.29300,4.18800,-0.21400,67
waxahatchee,0,5303925,1471,17,63124,359,21030,32700,13455,60527,46,32195,15,17,0.03600,1.12200,2.44600,0.03700,41
waxahatchee,6,601723,893,12.5,63124,359,21030,32700,13455,60527,46,32195,15,17,0.03600,1.12200,2.44600,0.03700,100
way down wanderers,4,3046355,300,13.5,25683,1532,277590,5126,415,4966,27,1839,1,1,0.09000,0.97300,0.66300,0.10900,59
weather station,1,625741,300,13.5,6784,50,2601,5192,1348,13396,43,2502,272,314,0.38300,12.72600,0.40400,1.39900,11
weather station,5,8001024,200,7.5,6784,50,2601,5192,1348,13396,43,2502,272,314,0.38300,12.72600,0.40400,1.39900,55
we came as romans,6,9883640,800,20,503631,66664,1912611,164000,15330,367703,56,364776,9,20,-0.39800,0.08300,-0.06100,-0.09500,86
weepies,3,6547629,1850,36.5,79079,1022,36434,8733,2061,99552,47,17559,4,6,-0.02800,5.10800,0.20600,-0.02300,42
weepies,6,601723,634,17.5,79079,1022,36434,8733,2061,99552,47,17559,4,6,-0.02800,5.10800,0.20600,-0.02300,100
weight,4,18801310,550,52.25,8586,1365,835508,8623,1152,8953,30,42,1000,1000,0.22100,0.23300,-0.15100,0.00000,66
weight,3,6547629,430,42.5,8586,1365,835508,8623,1152,8953,30,42,1000,1000,0.22100,0.23300,-0.15100,0.00000,48
weird al yankovic,4,12830632,939,49,758542,1495634,33943538,343200,48624,323171,55,5156202,111,135,-0.16000,0.04400,0.23300,-0.07600,100
weird al yankovic,3,26448193,1738,60,758542,1495634,33943538,343200,48624,323171,55,5156202,111,135,-0.16000,0.04400,0.23300,-0.07600,100
weird al yankovic,6,26448193,1733,37.75,758542,1495634,33943538,343200,48624,323171,55,5156202,111,135,-0.16000,0.04400,0.23300,-0.07600,57
weird al yankovic,4,6346105,823,69.5,758542,1495634,33943538,343200,48624,323171,55,5156202,111,135,-0.16000,0.04400,0.23300,-0.07600,100
weird al yankovic,3,5029196,1059,159.25,758542,1495634,33943538,343200,48624,323171,55,5156202,111,135,-0.16000,0.04400,0.23300,-0.07600,100
weird al yankovic,3,6483802,1442,54.5,758542,1495634,33943538,343200,48624,323171,55,5156202,111,135,-0.16000,0.04400,0.23300,-0.07600,92
weird al yankovic,1,5303925,990,60.5,758542,1495634,33943538,343200,48624,323171,55,5156202,111,135,-0.16000,0.04400,0.23300,-0.07600,100
welcome to night vale,0,38332521,345,35,343909,168640,2468410,21000,8460,,,356814,22,29,0.09700,0.95400,1.90500,0.05000,98
wesley stace,5,19378102,300,30,3504,273,55895,1726,152,298,5,6606,0,0,-0.05700,0.32200,0.23200,0.03000,100
west end blend,5,19378102,200,11,7101,328,57526,2795,240,909,14,539,0,0,0.35200,0.65400,1.18100,-0.18600,69
what so not,5,5773552,1000,13.75,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,55
what so not,4,38332521,3600,40,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,100
