name,dayofweek,state_pob,capacity,price,facebook_likes,youtube_suscrs,youtube_views,instagram_folls,instagram_likes,spotify_folls,spotify_pop,twitter_folls,twitter_mencs_usa,twitter_mencs,facebook_crec,youtube_crec,instagram_crec,twitter_crec,tickets
amanda shires,4,18801310,467,25,37757,250,15498,56900,20,13452,41,58399,59,155,0.69100,4.34200,1.40600,1.30800,55
america,4,6346105,1645,62,616023,4404,982364,8594,1397,410937,64,7863,1000,1000,-0.04100,9.98900,1.89700,0.36900,72
amsoil arenacross,5,2853118,11447,27.5,184127,4143,81290,116100,4794,,,13754,0,0,-0.08200,0.50200,-0.25800,-0.17400,22
amy helm,4,19378102,450,22.5,26086,77,16634,6045,1571,2042,23,3900,3,4,0.09200,0.77000,1.24100,0.25600,21
anderson east,3,6547629,953,18,76851,18447,3183497,105400,11208,64404,53,20910,9,14,0.05900,1.03800,0.00000,0.33000,100
anderson east,4,11536504,400,19,76851,18447,3183497,105400,11208,64404,53,20910,9,14,0.05900,1.03800,0.00000,0.33000,100
anderson east,4,4625364,905,20,76851,18447,3183497,105400,11208,64404,53,20910,9,14,0.05900,1.03800,0.00000,0.33000,100
anderson east,1,625741,750,18,76851,18447,3183497,105400,11208,64404,53,20910,9,14,0.05900,1.03800,0.00000,0.33000,60
anderson east,4,601723,1200,10,76851,18447,3183497,105400,11208,64404,53,20910,9,14,0.05900,1.03800,0.00000,0.33000,100
anderson john,1,5686986,888,52,183210,5353,51509,4716,744,133636,49,2530,7,14,0.02600,17.94600,0.19100,-0.19800,58
andrew mcmahon in the wilderness,0,6547629,953,35,324079,42565,3988670,99000,13721,104590,56,74431,9,9,-0.07700,0.25800,0.00000,-0.11300,100
andrew mcmahon in the wilderness,2,26448193,970,27,324079,42565,3988670,99000,13721,104590,56,74431,9,9,-0.07700,0.25800,0.00000,-0.11300,100
andrew mcmahon in the wilderness,3,601723,1200,20.25,324079,42565,3988670,99000,13721,104590,56,74431,9,9,-0.07700,0.25800,0.00000,-0.11300,100
andy grammer,4,6547629,953,26.5,280183,467078,119375518,297000,26148,495934,67,162442,51,57,0.00300,0.46600,-0.16800,-0.16100,100
andy grammer,4,9687653,1053,29,280183,467078,119375518,297000,26148,495934,67,162442,51,57,0.00300,0.46600,-0.16800,-0.16100,100
andy grammer,1,601723,1173,15.5,280183,467078,119375518,297000,26148,495934,67,162442,51,57,0.00300,0.46600,-0.16800,-0.16100,100
